Protein	Protein ID	Entry Name	Gene	Description	Protein Length	Organism	Protein Existence	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	Indistinguishable Proteins	C_41079 Intensity	C_41079 MaxLFQ Intensity	C_41079 Spectral Count	C_41079 Unique Spectral Count	C_41079 Total Spectral Count
A0A068U1F1	A0A068U1F1	A0A068U1F1_COFCA	GSCOC_T00039411001	Formate dehydrogenase, mitochondrial	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		378842.0	378842.0	1	1	1
A0A068U1F1;A0A068USH3	A0A068U1F1;A0A068USH3	A0A068U1F1_COFCA;A0A068USH3_COFCA	GSCOC_T00033352001;GSCOC_T00039411001	Formate dehydrogenase, mitochondrial	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		2751880.0	2751880.0	1	1	1
A0A068U1F3	A0A068U1F3	A0A068U1F3_COFCA	GSCOC_T00037207001	glucose-6-phosphate 1-epimerase	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		1868090.0	1868090.0	1	1	1
A0A068U1I2	A0A068U1I2	A0A068U1I2_COFCA	GSCOC_T00037240001	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		339477.0	339477.0	1	1	1
A0A068U1L2	A0A068U1L2	A0A068U1L2_COFCA	GSCOC_T00039805001	Oxygen-evolving enhancer protein 1, chloroplastic	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		436806.0	436806.0	1	1	1
A0A068U1L6	A0A068U1L6	A0A068U1L6_COFCA	GSCOC_T00036577001	40S ribosomal protein S6	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		94984.1	94984.1	1	1	1
A0A068U1L6;A0A068UXL2	A0A068U1L6;A0A068UXL2	A0A068U1L6_COFCA;A0A068UXL2_COFCA	GSCOC_T00035876001;GSCOC_T00036577001	40S ribosomal protein S6	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		13998.7	13998.7	1	1	1
A0A068U1P0	A0A068U1P0	A0A068U1P0_COFCA	GSCOC_T00039372001	Glutaredoxin domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		58648.9	58648.9	1	1	1
A0A068U214	A0A068U214	A0A068U214_COFCA	GSCOC_T00039992001	AB hydrolase-1 domain-containing protein	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068U245;A0A068V878	A0A068U245;A0A068V878	A0A068U245_COFCA;A0A068V878_COFCA	GSCOC_T00011364001;GSCOC_T00039763001	Proteasome subunit alpha type	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		0.0	0.0	1	1	1
A0A068U289	A0A068U289	A0A068U289_COFCA	GSCOC_T00036823001	Isocitrate dehydrogenase [NADP]	100	Homo sapiens	1:Experimental evidence at protein level	1.0	1.0	1	1	1	1		328946.0	328946.0	1	1	1
