Protein.Group	Protein.Names	Genes	First.Protein.Description	20260211_008_C41079_S1100213_Beads2_Group_2.mzML	20260211_007_C41079_S1100211_NosH3_Group_1.mzML	20260211_005_C41079_S1100214_Beads3_Group_2.mzML	20260211_004_C41079_S1100210_NosH2_Group_1.mzML	20260211_003_C41079_S1100209_NosH1_Group_1.mzML	20260211_002_C41079_S1100212_Beads1_Group_2.mzML
A0A068TTN6	A0A068TTN6_COFCA	GSCOC_T00029262001	Aspergillus nuclease S1	251589	372405	215554	457221	403102	246188
A0A068TTQ9	A0A068TTQ9_COFCA	GSCOC_T00026616001	Low-temperature-induced 65 kDa protein	228039	143976	211923	193576	178489	276898
A0A068TTV8	A0A068TTV8_COFCA	GSCOC_T00029373001	16 kDa subunit of oxygen evolving system of photosystem II	961590	2.45837e+06	981591	2.58399e+06	2.25655e+06	932112
A0A068TU09	A0A068TU09_COFCA	GSCOC_T00029374001	Thioredoxin domain-containing protein		63619.3		144118	61026.5	
A0A068TU74;A0A068TUX2;A0A068VGG1	A0A068TU74_COFCA;A0A068TUX2_COFCA;A0A068VGG1_COFCA	GSCOC_T00007148001;GSCOC_T00029533001;GSCOC_T00029536001	Nucleoside phosphorylase domain-containing protein	527723	503946	458643	623859	524819	507013
A0A068TU76	A0A068TU76_COFCA	GSCOC_T00029130001	Uncharacterized protein	325156	189976	307718	231156	155694	462800
A0A068TUJ4	A0A068TUJ4_COFCA	GSCOC_T00029276001	Eukaryotic translation initiation factor 3 subunit J	586142	448692	688783	446000	421458	674058
A0A068TUP2	A0A068TUP2_COFCA	GSCOC_T00026083001	Cysteine synthase		123465		133879	110962	
A0A068TUT7	A0A068TUT7_COFCA	GSCOC_T00029483001	Carboxypeptidase	629058	1.36758e+06	561140	2.05634e+06	2.16388e+06	1.2189e+06
A0A068TV19	A0A068TV19_COFCA	GSCOC_T00029890001	Triosephosphate isomerase, cytosolic	85405.1			575677	351027	83212.3
